property_type,state,lat,lon,area_m2,price_mxn
HOUSE,Baja California Sur,19.35913,-98.983431,189.0,???
HOUSE,Yucatán,20.989016,-89.632225,300.0,131747.44
HOUSE,Veracruz de Ignacio de la Llave,25.453195,-100.935486,203.0,94818.28
HOUSE,Yucatán###,20.938659,-89.615316,173.0,-50052.15
HOUSE,Tamaulipas,22.270658,-97.849037,263.0,176541.57
HOUSE,Chiapas,16.78141,-93.096451,87.0,51381.5
HOUSE,Chiapas,19.691938,-101.176615,220.0,155425.12
HOUSE,Estado de México,19.64079,-99.098691,105.0,68492.42
APARTMENT,Puebla,19.011347,-98.246264,139.0,179134.04
HOUSE,Jalisco,20.647029,-103.454953,122.0,77975.99
HOUSE,Morelos,18.905066,-99.224869,120.0,
HOUSE,Veracruz de Ignacio de la Llave###,19.06681288,-96.07347608,271.0,-173865.39
HOUSE,Querétaro,20.705742,-100.444016,350.0,
HOUSE,Estado de México,19.54323,-99.222374,181.0,154950.94
HOUSE,Sinaloa,,-107.3940117,212.0,112222.21
HOUSE,Tamaulipas,25.872879,-97.509221,14350.0,115910.26
HOUSE,Distrito Federal,19.373264,-99.104161,250.0,135430.6
APARTMENT,Distrito Federal,19.383952,-99.160229,100.0,174140.42
HOUSE,Chiapas,16.757278,-93.134056,298.0,181084.17
HOUSE,Tamaulipas,22.320061,-97.86808,67.0,35835.3
HOUSE,Guanajuato,20.58343642,-101.1981905,9000.0,131747.44
APARTMENT,Distrito Federal,19.396018,-99.147827,80.0,183989.52
HOUSE,Chiapas,19.646418,-101.238213,153.0,97469.99
HOUSE,,19.5896123,-99.2907617,60.0,34254.33
HOUSE,Querétaro,20.631845,-100.390495,315.0,237089.17
HOUSE,Baja California Sur,24.083153,-110.303329,65.0,33358.45
HOUSE,Veracruz de Ignacio de la Llave,,-96.139002,140.0,68492.42
HOUSE,Estado de México,19.272027,-99.553293,2024-12-01,71653.61
,Hidalgo,20.1010608,-98.7591311,320.0,192305.66
HOUSE,Veracruz de Ignacio de la Llave,18.1495449,-94.5140773,104.0,57955.13
APARTMENT,,19.333901,-99.240356,85.0,179134.04
APARTMENT,Distrito Federal,19.390031,-99.174182,108.0,209692.2
HOUSE,Nuevo León,25.781807,-100.187794,155.0,65858.1
HOUSE,Querétaro,20.7012562,-100.4654217,,187081.37
APARTMENT,Distrito Federal,19.365834,-99.263505,126.0,180187.77
HOUSE,Yucatán,20.9637793,-89.6612548,249.0,44783.51
APARTMENT,Estado de México,19.404701,-99.292419,300.0,
,Veracruz de Ignacio de la Llave,18.879525,,123.0,55320.8
HOUSE,Puebla,18.978682,-98.250015,162.0,
HOUSE,Querétaro,20.6205869,-100.388042,322.0,209955.63
APARTMENT,Nuevo León,25.654263,-100.297874,114.0,55333.92
HOUSE,Estado de México,19.180459,-99.590174,175.0,
APARTMENT,Durango,24.010702,-104.613602,88.0,43213.16
APARTMENT,Distrito Federal###,19.474655,-99.189277,60.0,-40041.72
APARTMENT,Querétaro,20.65449,-100.384446,160.0,250320.14
HOUSE,Veracruz de Ignacio de la Llave,25.569556,-103.383702,244.0,101158.04
HOUSE,Morelos,18.813505,-98.953514,,34246.21
HOUSE,Quintana Roo,21.118165,-86.880921,189.0,118544.58
APARTMENT,Tabasco,17.972448,-92.960579,104.0,57968.87
HOUSE,Veracruz de Ignacio de la Llave,,-96.160652,220.0,139619.18
APARTMENT,Distrito Federal,19.3499358,-99.2906864,78.0,147557.13
APARTMENT,Estado de México,19.402713,-99.27547,6500.0,101196.61
HOUSE,Morelos,18.948109,-99.26886,200.0,155461.98
HOUSE,Querétaro,20.5887932,-100.3898881,334.0,279238.36
APARTMENT,Distrito Federal,19.406592,-99.155442,90.0,224660.17
HOUSE,Nuevo León,25.677525,-100.258614,257.0,115937.75
HOUSE,Distrito Federal,19.318989,-99.094437,100.0,98523.72
HOUSE,Querétaro,20.712143,-100.454275,230.0,152790.8
HOUSE,Yucatán,21.01429,-89.605148,280.0,144922.18
HOUSE,Veracruz de Ignacio de la Llave,19.532306,-96.897717,2024-12-01,60589.45
HOUSE,Veracruz de Ignacio de la Llave,,-96.1342241,160.0,52686.48
HOUSE,Veracruz de Ignacio de la Llave,19.139896,-96.109911,163.0,68492.42
HOUSE,Baja California,32.665619,-115.433372,134.0,133442.74
HOUSE,Tamaulipas,22.270658,-97.849037,93.0,65873.72
HOUSE,Yucatán,21.021821,-89.634346,235.0,110641.61
